servers,requests
8100926694,1654208378
1451647865,1341097574
322523072,8266387843
5293830961,7261741894
1808572955,4406997142
5966883258,5256896032
741845180,322452489
332473651,6488323378
1831131334,7959236376
1816089443,1869694432
5260536170,1737609895
1816066965,320829189
6586292642,734170327
5955937527,4120378574
1406765527,7957526342
4049936348,528582941
1849437026,1828299346
8599473785,2454614394
1634509692,1673211029
5264080677,2115201451
1918810081,754402404
604746431,746964227
5466524481,746804809
6015898760,8100939469
8269087222,2918305968
8190479038,2122141178
8259222044,4354045722
286387069,1808532722
6778570777,6392223835
529962264,8100926674
7260188234,1343051448
401372894,8195791821
6014820796,1243762700
8100926645,734570392
734520309,734418208
1420909512,606809750
528979018,296817032
2285990053,343335393
339283129,5273049000
1230361252,533658084
6161608865,3440405801
2230046194,3347224281
1737659086,1253534960
8738589969,8266985052
6506022781,453047917
4114408723,1968410422
737198133,734418000
1837712744,2738796105
5272919721,296816704
5235827184,2575647231
754515203,746856684
2512646703,288368750
320469449,1226801381
1736610756,419328821
1317216458,1231748257
737198133,7609344034
2417468270,2355641323
1852440488,337499620
606030408,1410708950
5808959364,1343383489
2327218938,6949733608
1836367407,1420029071
35835420,606830070
1661735168,321794668
734418952,266111554
733859836,4222115993
5674451322,3010473499
1230361578,1532469726
606875747,1360087398
644603310,1985004034
5356942847,1808510020
4199877613,2293148418
604777410,1837757163
1634952563,1497364385
1671690968,8066775424
1202992882,1408034361
387155357,1621521542
1502696895,606054934
926006762,5612831371
530659492,320829192
5146217990,7260440104
1532469696,340068781
2388259037,534550033
321803168,266109346
1836655647,1296110645
1718852300,8548072431
4685249599,915666021
2304301950,297113918
3671248516,1419168277
2293148402,245154230
644625177,701172297
5440633374,3707461554
8106090485,384228652
5845069331,530654592
1808674103,6504247739
2304301950,733859792
2199153744,733859717
1272249910,4331008389
6482076818,2115201426
5955937515,269423364
3347224423,1343051726
1875160010,733859133
1771676983,6789479293
2099798874,5826407927
8106090477,1667004572
318266505,2512607537
754515574,5826407938
1852430532,1528034334
7450484596,3773844970
6778556911,5522678973
1303500724,733967499
7937425336,7229004211
701823684,4805979844
1359329124,1852430230
1718852311,4076341387
1497364741,5826407925
2891558467,746964266
1734127719,1858572365
8571693579,5952125114
1685983278,8032695398
8283522976,7194581729
3010473853,4724378157
734170239,3745831667
1230361063,380763582
528610046,1718852190
1598453924,5940731382
266109099,734521342
1325550700,537974247
370727559,3024708835
1300401048,567834614
1808782895,701733969
2391378691,6019204766
6402625821,8266387896
5841745383,8018444416
8269085568,1202993007
8283436583,5273114146
1679949288,3414420594
1327769594,1317051569
7809878966,2284666911
734521413,332616019
2699109336,296298369
8190479041,5336543773
7840263632,3441000831
1343052284,2115201500
1807791724,1849465079
7383756045,529963396
8718128885,5190540931
2410578525,5277812723
35869360,754404462
734418760,537976506
1497364425,8230111097
5136638599,289129190
2426624728,6058354567
1230361049,1765370210
8100912216,4222116000
530652705,1837712864
1760770174,1765233086
754515677,1667004641
1817905769,8049125825
745454652,7110911694
1621418264,1917446219
7257660453,2613340513
1734127575,7641646569
6362808568,1421587381
8259878382,8190456335
320655943,1849535318
4759562191,1532469751
1583217850,1343052123
528845827,529963326
35857532,8269078466
8259183807,1464784185
3951207089,734520428
7957509674,8179935931
1747588105,1412740558
1306566240,1930829040
734418095,244466876
1718852299,1300406477
1350327469,5440633410
1410718539,1837712744
734419461,2619393105
1272235798,1230361566
2304310764,8100926643
340057250,8155060145
2056613797,7883862158
981019333,5258150957
1732795518,35859802
7110914233,2302253605
1942891374,8259183641
734418567,534586334
733788283,1226476650
1573977222,1229015213
1252054873,5921138460
477087870,5921138998
4120400998,321855443
1875160033,384255274
1734127603,1943207383
1343052340,2390966692
332617612,528607838
1736505487,733967219
2098704092,1598453913
2209298453,529546599
915666342,8266003557
1653985954,530654722
733967409,1771676847
1840701752,2115201414
338234154,4367211526
6691271384,1703020908
1902274573,1851958139
656069695,1805218733
1598502542,2099577356
8230111214,5259217302
8023889279,2525233667
644603695,4397627466
687150776,4717799107
4697740384,380763076
1497364504,1836457617
644625102,7045819309
1819087300,2296672942
537974283,734419213
8259236159,1771677042
746856622,1765233079
5929059852,8686110249
605040872,321762910
7450484509,1807828116
1229010965,8259221947
7110874265,7902216430
6000773365,1351023684
5469191848,1816066971
529964994,2353051953
3784428363,5441795894
5472007523,1886131657
1359329072,1859924770
703216526,4583502027
1844787688,5356920441
2458116607,8100934075
8283413240,2304272773
5188826008,1702619103
1858447038,7202362890
6781830674,605822260
1854582082,1837712866
1211863580,2284666891
754516800,8195791973
5955937528,8283436573
533657485,7953559156
1327779350,534246814
1836655637,1811336657
2306911388,1621521552
5273045320,1298031734
292591115,2286379006
1918810105,5105418695
2791871594,5077446359
529962267,567684019
7921996177,528886528
7260188212,7260440141
321266403,306770090
1327769688,8190456372
1869621106,290599228
7261741898,2036213459
1361300427,6164348420
1745111620,5292716096
1327769868,7082474452
294119525,1718994446
1802903157,2358606018
1343050782,530654379
384837340,8259183676
754517218,1293134742
332472597,530642344
35555404,1408034468
3740123494,529551187
385076217,3445912925
1852440453,1226477037
1598453910,1598502588
3441004697,6161608885
1718863768,2010691734
1808597609,2614705213
4717818279,1808673964
604746890,1243762710
289276182,1673211023
8259183825,1661735164
1300406459,6014820794
8195855587,4711334948
5253520804,1638688353
7110914235,733860093
8283436324,5955515401
1849464945,331149532
1985434223,8100926627
1361170284,5257081812
607863809,1891399729
733858814,5272919916
2099588081,4907657647
7266761396,5169437650
733859109,282473300
1889048150,734419198
1765375293,245109116
244253761,8259183692
534076879,6286241778
7345747379,5803985560
1327779352,343437020
1346474128,8100926583
7566113035,5257123188
5413944177,353122998
2358606071,916286765
2304301992,471512196
1306566240,606809174
2199344701,1802402431
3010473715,8584689114
2459514552,2485149984
1192323537,1687193617
333167250,3367581893
746856596,3198077077
331009126,3347258832
271824592,244883045
4557107331,746804858
266111604,4677789525
1361503556,533651768
4333951998,4076125723
1359329307,1667135988
2299797040,1211888145
5259217340,385076962
1343050531,282473298
3347224425,5293526868
5505921415,4064153324
2512549687,2477780976
6451426704,3315887296
7828091069,3204185597
3587242739,4557107331
2284753856,1977788574
35555404,1038256846
2514416986,8039741866
2611862007,3445912923
1201534059,1327782556
1892848552,726587488
1207046756,8266003547
1359328836,7921996175
656068459,6783866783
1716349768,8283436552
1859937407,3731047482
8259236148,534556652
534313069,754516009
644623392,5169437650
1583042958,322444789
648080656,1687193545
1343052551,1661735179
1985434377,6219397909
8314187691,4367211524
1252212720,4441511058
5336500787,1226548300
1598453924,8736112731
605885994,76457683
2207735249,1808597602
6165836632,1202993102
2290527830,528834192
3700607563,2377575608
1840711703,1836655694
2499536636,1359089789
1852430230,2575647210
1519696640,2316743912
1968410462,8166451006
6161608883,1807586998
4677253374,1190950111
1726299900,701735521
606734868,7980805116
701733966,4685479467
605040992,1968392408
1817905767,7110874199
644623638,1670551457
1231628455,1343051379
382540626,644603695
6165836632,1650224082
7840263629,1654208371
8718843596,8706889507
1765216319,8259226931
8066689896,288193610
1968142088,8190525909
1360097788,1804605974
5953939896,366533994
5273114006,4774233023
2102430261,926007055
1363529673,90235944
1420029071,2720470482
2595027864,5293527693
6856004584,598404754
6286241961,1765225610
2122594987,378056970
269423774,384342232
3506893962,252852792
5689965431,4841714813
1842193479,1343050291
1327779326,6778539905
8100939505,7264074413
1802595136,4114408715
332949006,754515493
6391165422,529965435
324261805,294118707
1803810872,6207467373
2461199954,1855802391
3981258728,3024839842
1985004102,2355641200
100649633,1814461883
1817905676,8620089703
605970340,1360097774
1840135883,1634509668
2699109355,1296110616
298583348,1840711703
1405965125,8718734311
2284753994,5279353864
606859100,6015817530
677289093,2302253618
3688755819,5293526904
606812866,5921138775
754516009,734520424
4613488537,4715688501
4685479411,3823999790
1230361451,8259221970
2160528097,35867281
1653957190,1734208312
734419465,1189179665
2464952572,8559502658
266111580,529536601
1765106518,6585264995
528782173,1497364662
7641681141,2115201444
8259222014,2462803530
1842187344,5440633410
