vertex_1,vertex_2,length,haversine
25248785,321607233,28.981,0.028981374566455703
25248785,2424906811,325.04,0.32503974345088055
25248786,25248785,309.891,0.3098909606423706
25248787,25248786,343.693,0.3436927492781935
25248787,330841132,34.704,0.03466712395749211
25248787,733788439,539.913,0.5398823350216025
25248790,325686463,13.389,0.013388974751013886
25248790,1737659086,79.067,0.07906732104396932
25248790,1414035091,96.113,0.09414547092041253
25248791,25248790,311.244,0.3112434921626872
25248791,325686500,13.869,0.013868806467682454
25585055,533650673,220.67600000000002,0.21323076560380438
25585055,330841279,438.22499999999997,0.4346726934977947
25585055,342791346,65.7,0.06345730394509766
25585082,734169795,12.711,0.012710648258999676
25585082,1414035093,14.491,0.014491355430313348
25585082,25585092,315.92199999999997,0.3159161495630062
25585083,1414035094,19.111,0.01911083152759911
25585083,25585082,104.98,0.10497976172342359
25585092,1414035092,15.539,0.015539348530136792
25585092,2099138477,143.527,0.14352665369638842
25585093,1414035089,19.407,0.019407338453800004
25585093,325686451,14.664,0.014663819366302774
25585093,733992810,497.24800000000005,0.49723857156621637
25585099,330842109,24.312,0.02431213625863684
25585099,90235937,444.276,0.4439026279545775
25585099,2010541467,183.65800000000002,0.18360453847806338
25585116,25585122,266.55600000000004,0.2665156394816103
25585116,339290737,90.548,0.09054587027240496
25585116,733992878,253.762,0.25271315283548196
25585122,533648147,96.49,0.09537047299168862
25585122,25585116,266.55600000000004,0.2665156394816103
25585122,342803653,217.656,0.21751578547320682
25585141,342791876,75.805,0.07578977923736442
25585141,1414035092,181.39399999999998,0.18136145462851716
25585141,533648958,79.84,0.0792716372577309
26535390,330841134,22.003,0.02200298936733236
26535390,533628789,178.56,0.17853799503258821
26535390,25248787,282.585,0.28258514521285316
26535594,330840061,19.074,0.019074290879569505
26535594,26535595,549.9939999999999,0.5499655013246747
26535595,1742861999,7.918,0.007918274939796582
26535595,533628407,132.94099999999997,0.13293693722406213
26535596,733967509,165.048,0.16504833305561262
26535596,733967409,21.523,0.021522995029948356
26535596,269489746,465.80799999999994,0.4656613920504898
27484724,754516460,73.5,0.0734999037974177
27484724,754515534,576.737,0.3094183205361688
27484724,1833361108,314.81199999999995,0.3148090963879684
27484727,8278909803,70.616,0.07060776316928125
27484727,1410718550,134.478,0.13445747800485758
27484729,1350995992,447.448,0.4474477868812045
27484730,244468179,201.843,0.20184251861402577
27484736,27486094,51.716,0.05171642479830548
27484736,1829396932,106.493,0.10649329509808171
27484993,1038275245,35.151,0.03515132649654668
27484993,27484994,26.937,0.02693738869094467
27484994,330844789,15.032,0.015031833329562726
27484994,27484999,372.374,0.37237375800749184
27484999,330844788,13.777,0.01377708100245382
27484999,529971074,143.521,0.14352122629231912
27484999,1836570151,33.414,0.033414139029906864
27485058,754517147,135.762,0.13576204153302124
27485058,754515973,22.577,0.022576787730879757
27485058,2891549445,217.243,0.21724309562125507
27486094,340411709,252.523,0.2525227998692175
27486094,294114931,11.389,0.011389388142585596
27547590,754517303,402.729,0.40272936424698186
27547590,1410718575,461.98,0.4619800879711741
27547590,8278909763,156.699,0.15419220129090513
27547590,324264566,511.80199999999996,0.5118006098010998
27547596,331149179,12.828,0.012828071024745279
27547596,754515354,126.546,0.1265457034571432
27547596,1719003227,9.002,0.009002176873189225
27547600,754514958,205.577,0.20557741278522623
27547600,264825574,240.536,0.24053606528287574
27547600,1719003215,12.73,0.012729911304920216
27547600,1719003235,8.184,0.008184402257201122
27547614,1292883482,114.333,0.11433337928693028
27547614,1292883513,847.6020000000001,0.8475537835323892
27547627,656035868,371.065,0.3643063368873423
27547627,64490206,430.184,0.3953481950368205
27547644,1350995961,75.553,0.075553124530964
27547644,265711680,611.626,0.6095627873602476
27547648,1350995981,62.574,0.06257371752033802
27547648,27547653,625.048,0.6250360925721233
27547653,1767304562,295.033,0.2950326490803489
30993511,289555603,35.39,0.035390120838398834
30993511,917139176,492.983,0.4919007668231663
30993514,746496440,24.11,0.024110028719134428
30993514,1734253194,364.29999999999995,0.3634702119411948
30993514,2358605993,22.661,0.02266105441974591
30993516,30993549,377.53,0.37753032689609767
30993516,30993546,131.095,0.1289931390627678
30993516,30993521,239.344,0.21760441221494942
30993516,746496437,201.11,0.20110946623846676
30993521,917139170,86.855,0.08685515340080553
30993521,30993549,361.25199999999995,0.2896535656324201
30993521,30993516,239.344,0.21760441221494942
30993536,2358605958,33.524,0.03352399914358728
30993536,746496441,36.155,0.03615546255027689
30993536,1734253161,194.022,0.19399643498054522
30993546,1718852261,95.605,0.09530951074070432
30993546,30993516,131.095,0.1289931390627678
30993549,30993516,377.53,0.37753032689609767
30993549,746496441,178.932,0.17893202516996576
30993549,30993521,361.252,0.2896535656324201
30993612,1421587310,171.607,0.17160653954950067
30993615,701736568,54.601,0.054601183333178746
30993615,1807828231,52.462,0.05246195585101919
30993622,7672069652,91.674,0.09164533492710437
30993628,1351052202,84.448,0.08444845236999164
30993628,1817905676,17.673,0.017673030313321902
30993641,260726396,50.794,0.050794185287360356
30993641,1351023542,1041.661,1.0261632266979896
30993642,30993641,200.922,0.20077060482588338
30993647,1807791805,610.5509999999999,0.610550072486863
30993789,325028580,67.926,0.06792643782869492
30993789,325026770,104.21900000000001,0.10383739071622021
30993790,325029809,116.163,0.11616289600211255
30993790,30993789,130.199,0.13019920856225453
31017966,1190950081,94.909,0.09490942717058497
31017991,321759621,59.114,0.0591140371035407
31017991,31331906,624.943,0.6249139205346731
31018090,287334202,128.173,0.1268602811949565
31018236,330840055,17.659,0.017659066273189646
31018236,266109208,150.142,0.15014208900888976
31018238,330837892,17.549,0.017549238752360415
31018238,1300406443,10.125,0.010125252349058074
31018238,1300406531,392.61100000000005,0.3926007728956196
31018239,330837750,14.279,0.014279040635802083
31018239,266110493,552.441,0.552441103173119
31194136,266111656,42.51,0.042510085242866084
31194136,733788139,42.742,0.04274206938872604
31194136,266111658,107.183,0.10718317881064358
31194139,733859097,90.71,0.09070979241752064
31194139,733859702,90.126,0.09012549901075574
31194139,733860001,101.47200000000001,0.09898756242154581
31194141,31194142,103.541,0.10354098325284777
31194142,733788527,217.362,0.2173624660081014
31194142,533627836,55.953,0.0559530414910302
31194142,31194141,103.541,0.10354098325284777
31194142,733788439,266.904,0.2668900580113951
31194143,733788662,116.831,0.11683050796471267
31194143,266111655,40.461,0.040460758250756526
31194143,733788139,210.212,0.21021186511746145
31194143,733789081,153.986,0.15398596029594766
31194144,2056636786,68.31,0.06830951429580834
31194144,733859836,292.8,0.29277111484794416
31194144,8559502660,238.28300000000002,0.23801536903235693
31194144,266109099,157.013,0.15696600871662392
31194145,733859146,158.194,0.15819421625966018
31194145,8559502659,9.394,0.009393751711982845
31194147,384057956,47.852,0.04785169216347977
31194147,1449318290,596.7130000000001,0.5965405363834978
31194147,733859147,100.64,0.10063782402431083
31194226,31194236,116.388,0.11638843112049135
31194234,31194226,207.45600000000002,0.0730462320794122
31194234,1351023321,72.16900000000001,0.07215021810966195
31194236,31194237,191.951,0.19195123073340778
31194236,31194417,214.297,0.06564344851498995
31194237,1351023799,1657.963,1.657921368917765
31194315,1000533158,259.712,0.25584616357678536
31194315,31194316,511.544,0.5115431894860129
31194316,1736505498,478.142,0.47814150525369226
31194316,31194322,60.394000000000005,0.05034144247908307
31194319,31194234,99.215,0.09921498571774447
31194322,8028020320,8.994,0.008993530403332376
31194322,8028020319,35.767,0.0352315294851376
31194330,1000533114,76.632,0.07662873626568376
31194414,35867274,216.861,0.2168609463187222
31194414,321855730,18.205,0.018084093825915297
31194415,31194414,83.97,0.08394829331419185
31194416,31194415,63.049,0.06304883900148879
31194416,244883050,558.029,0.5482467017871229
31194417,31194416,78.864,0.07886398447727602
31194550,1351023309,52.863,0.052863472491812
31194550,1942597461,16.616,0.016616039991399916
31201008,733859830,103.013,0.10301290172517531
31201265,1362315799,13.464,0.013463580781586201
31201265,3141754806,223.49,0.22348929878072948
31201265,266109235,209.347,0.2093265868757748
31201268,1362315801,11.35,0.011350127730909128
31201268,6007826881,332.898,0.33288439867115605
31201268,31201265,238.89800000000002,0.2388980420576102
31201272,1362315804,11.54,0.011539821512981253
31201272,390934174,231.502,0.23147864639505392
31201275,1362315807,11.471,0.011470510471505926
31201275,31201272,310.709,0.3106963656375503
31204690,268389909,90.388,0.09038847796310377
31204690,1718852215,20.766,0.02076611547823479
31204690,1718883510,510.376,0.5103757938081545
31204696,31204911,62.356,0.062355570466154725
31204696,31204703,255.126,0.23292976279764482
31204696,1718852232,160.37300000000002,0.14440568837943962
31204703,31204892,58.654,0.058653764231569636
31204703,31204819,589.73,0.4912297159674132
31204703,31204696,255.126,0.23292976279764482
31204709,1421587203,12.74,0.012739630475703227
31204709,1718852227,11.498,0.011497725989208627
31204711,1718852230,10.85,0.01085027416337697
31204711,5468748057,211.923,0.2119230552705643
31204711,5468748048,117.204,0.11720404270545966
31204819,2554015168,63.039,0.06303918997217033
31204819,5955516996,29.769999999999996,0.029710338128772683
31204819,31204703,589.7299999999999,0.4912297159674132
31204819,31205114,512.413,0.4881699334373562
31204892,31204703,58.654,0.058653764231569636
31204892,2554015228,352.39300000000003,0.2333697640645966
31204892,31204911,173.11200000000002,0.15779835823266544
31204911,31204696,62.356,0.062355570466154725
31204911,31204892,173.112,0.15779835823266544
31204911,2554015228,208.79900000000004,0.18221873340442662
31205104,2554015189,67.112,0.06711223066676886
31205104,31205111,432.041,0.4162425616435012
31205104,1718852232,400.10299999999995,0.3097500902813522
31205111,31205104,432.041,0.4162425616435012
31205111,2554015147,54.58,0.047434202110658526
31205111,268389992,45.896,0.04165141672558723
31205114,268389992,46.942,0.0424034794885756
31205114,2554015147,39.61,0.036918709999971905
31205114,31204819,512.413,0.4881699334373562
31331903,324664311,44.295,0.04429465005566755
31331903,1190930363,531.745,0.5317124251318016
31331906,1190930453,301.61,0.3016097988073638
31331978,1300406473,150.91199999999998,0.14878855000606322
31331978,1300406491,153.341,0.1532899897432759
31332092,1362315789,12.14,0.012140124906703352
31332092,342820811,210.537,0.20775648831985835
32061956,325686500,55.50599999999999,0.0549634219168806
32062412,733967372,23.016,0.023016342197108543
32062412,734520972,128.181,0.12818131467681768
32062412,734520688,60.977999999999994,0.06094095350460483
32062415,734521394,67.631,0.06763065766990278
32062415,1598502693,19.604,0.019603792740561274
32387952,1860131907,7.716,0.007716159687801438
32387952,340255344,108.083,0.10800504820442691
32387953,1861655011,16.473,0.01647346571088608
32387953,1861655001,105.81899999999999,0.10579703260784572
32387954,336377072,50.277,0.04886867745139384
32387957,245145493,147.953,0.14795255803827373
32387957,922928966,12.322,0.01232240921351681
32388118,733859080,379.484,0.37948433593396513
32388118,1860131879,8.458,0.008458496708989821
32388119,1803810836,16.152,0.016151917403321718
32388119,1976297656,597.4200000000001,0.597415528985809
32388119,340064895,185.185,0.18513840065688758
32388365,269491225,200.893,0.20088643854488006
32388365,528867992,176.46300000000002,0.16999635243825187
32388365,1976297656,490.68700000000007,0.47203878762115414
32615466,4839715705,283.77,0.2837698551321094
32615466,1840794440,30.074,0.030074306572960615
32615468,529708865,11.464,0.011463611140120608
32615468,4716859075,343.327,0.34332721082814643
32615468,8718128884,255.46,0.2554599647805937
32615470,331148409,10.999,0.010998859340335492
32615470,5104335743,206.5,0.20650058322945586
32615470,5104335741,308.962,0.30895722757685873
32615472,1415627406,10.819,0.010819496337718995
32615472,754515968,200.276,0.20027593245576872
32615472,754515005,379.721,0.3797205757431747
32615474,331148076,10.808,0.010808498129355052
32615474,1415627422,15.501,0.015500596529764838
32615474,1737702606,246.92000000000002,0.24690281810386766
32615475,1415627407,228.966,0.228966720578589
32615475,237536317,573.09,0.5719858978279089
32615479,385076077,269.547,0.2695465384484937
32615479,331148072,15.464,0.015463922969896711
32615480,331147945,15.699,0.01569852594814353
32615480,1742785891,91.549,0.09154949037431621
32615480,331879999,415.058,0.4150577426705623
32615481,342835769,17.57,0.017569568148104522
32615481,32615480,327.074,0.3269991951567062
32615483,342836968,16.615,0.016615130328895784
32615483,32615481,278.67999999999995,0.2786726272679388
32615484,340247549,187.369,0.18736887480696343
32615484,342836797,128.367,0.12836652114867805
32618816,1742785935,14.659,0.014658502842402452
32618816,340245973,375.865,0.3751346705679915
32618819,1356404774,144.994,0.1395094862007239
32618819,1190930368,81.172,0.07457743863493409
32618821,32618819,148.273,0.14709701778593584
32618834,1841521877,40.726,0.04072588541970743
32618834,321860230,41.414,0.04141429542156631
32618834,529504641,61.06099999999999,0.061061476824434795
32618837,1190930418,523.746,0.5237455541664963
32618837,1190930422,45.836,0.04583631499225594
32618840,286387102,12.09,0.012090102206934393
32618840,2449589220,554.2819999999999,0.5541997908697677
32618842,371157932,10.399,0.010398586200679058
32618842,1732782006,258.154,0.258149623946079
32618866,1802779243,78.301,0.07830070176934029
32618866,1190930492,1046.176,1.0453024937057425
32618883,610915191,302.588,0.3009393910142306
32618885,1421587228,49.302,0.049301805859155994
32618885,32618883,116.154,0.11615420964008444
32877189,1803810848,9.907,0.009906770537374264
32877189,245145380,503.75700000000006,0.5037559118203443
32877193,332616019,30.067,0.029545268946855226
32877196,340254110,124.936,0.1249355910835927
32877196,1803810883,10.303,0.010303384480562944
32877217,258971034,50.147,0.05014738452967365
32877217,1634403557,248.11299999999997,0.24811266207072913
32877275,1859897275,7.299,0.00729867989271848
32877275,2408401228,502.756,0.4813980155034008
32877279,1114097895,16.324,0.016324159271169546
32877279,1634975443,436.153,0.43614182707569116
32899013,733858790,137.652,0.1376524357353394
32899013,266111580,135.027,0.13482999368013396
32899013,1860131873,274.981,0.2746054989273794
32899017,1842188220,257.843,0.25784266021337204
32899017,1736610643,11.509,0.011508769749491074
32899017,1842188228,131.356,0.13135541255759134
33399858,36704818,45.597,0.04559730905123532
33399858,35553582,240.201,0.24020098343248714
34710869,262259869,52.976,0.05297634060346467
34710869,1838508290,43.199,0.04317146996212598
34710869,1838508301,34.272999999999996,0.03425518042626702
34928517,2822050366,11.049,0.011049208819199416
34928517,256875100,61.436,0.06143560304036426
34928522,1305971017,8.473,0.00847333185478599
34928522,5908910499,5.7,0.005699804052950166
