vertices,x,y
25248785,116.3894407,39.9062721
25248786,116.3930703,39.906394
25248787,116.3970962,39.9065222
25248790,116.3898158,39.8987502
25248791,116.3934609,39.8988716
25585055,116.3855782,39.9019869
25585082,116.3855622,39.8989751
25585083,116.3867923,39.8990026
25585092,116.3818619,39.8988605
25585093,116.3779918,39.8987474
25585099,116.3766593,39.9058516
25585116,116.3778503,39.9005436
25585122,116.3777633,39.9029395
25585141,116.3817558,39.900629
26535390,116.4004073,39.9066074
26535594,116.4117218,39.9069468
26535595,116.4052788,39.9067581
26535596,116.4118329,39.9048304
27484724,116.3192982,39.9096927
27484727,116.3285234,39.9098111
27484729,116.3471527,39.9638588
27484730,116.3473067,39.9671179
27484736,116.3638695,39.966728
27484993,116.315387,39.9062149
27484994,116.3150712,39.9062164
27484999,116.3107059,39.9062558
27485058,116.3227946,39.9096329
27486094,116.3639092,39.9662639
27547590,116.3285085,39.9169027
27547596,116.3388295,39.9170486
27547600,116.3471769,39.9170618
27547614,116.3499229,39.9277429
27547627,116.3493741,39.9402687
27547644,116.3501458,39.9476852
27547648,116.3490214,39.9542929
27547653,116.3488127,39.9599117
30993511,116.4102914,39.993712
30993514,116.3945787,39.9933535
30993516,116.397173,39.9920935
30993521,116.3991379,39.9908431
30993536,116.394698,39.9885124
30993546,116.3971886,39.9932535
30993549,116.3972082,39.9886984
30993612,116.4040694,39.9870136
30993615,116.4289147,39.9877395
30993622,116.4416847,39.9840231
30993628,116.4581358,39.9732944
30993641,116.4832531,39.9534269
30993642,116.4836719,39.9516501
30993647,116.4839581,39.940583
30993789,116.2686859,39.919551
30993790,116.2682644,39.9206764
31017966,116.4053914,39.9476591
31017991,116.4053672,39.9477768
31018090,116.4262973,39.9476782
31018236,116.4206977,39.9071039
31018238,116.434823,39.9072277
31018239,116.4441203,39.9071643
31194136,116.4005425,39.9116148
31194139,116.4047536,39.9171376
31194141,116.3955127,39.9137358
31194142,116.3967258,39.913772
31194143,116.4004361,39.9138882
31194144,116.4116106,39.9141866
31194145,116.4203626,39.9142291
31194147,116.4113816,39.9173925
31194226,116.4478707,39.955964
31194234,116.4487223,39.9560376
31194236,116.4487511,39.9567641
31194237,116.4501915,39.9580911
31194315,116.4511862,39.9591635
31194316,116.4473024,39.9556562
31194319,116.44782,39.9566013
31194322,116.4467396,39.9557935
31194330,116.4466766,39.9573286
31194414,116.4468006,39.9574926
31194415,116.4475454,39.9569986
31194416,116.448104,39.9566269
31194417,116.4488182,39.956176
31194550,116.4507311,39.9551084
31201008,116.4134008,39.9212191
31201265,116.4205538,39.910715
31201268,116.4204506,39.912862
