server_x,server_y,request_x,request_y
40.8728,-73.9127,40.7515,-73.9711
40.7768,-73.989,40.7422,-73.983
40.7518,-73.9767,40.7783,-73.9584
40.7466,-74.0083,40.7794,-73.9774
40.755,-73.971,40.6464,-73.79
40.7578,-73.9734,40.7438,-74.0034
40.7121,-74.0154,40.7691,-73.9885
40.7531,-73.9751,40.7257,-74.0039
40.7699,-73.9845,40.7633,-73.9809
40.7146,-74.0115,40.7767,-73.9467
40.8111,-73.9615,40.7466,-73.9795
40.7605,-73.9857,40.732,-73.9821
40.7554,-73.9849,40.7943,-73.9739
40.7775,-73.9889,40.7496,-73.992
40.7547,-73.9801,40.7992,-73.9362
40.7248,-73.9989,40.7743,-73.9636
40.7823,-73.9558,40.771,-73.9568
40.7771,-73.9599,40.7561,-73.976
40.8046,-73.938,40.7511,-73.9942
40.8046,-73.939,40.7673,-73.9624
40.7877,-73.9538,40.7686,-73.9656
40.7521,-73.9796,40.7344,-73.9989
40.7609,-73.9712,40.7734,-73.9621
40.7797,-73.9558,40.783,-73.9749
40.8128,-73.9605,40.7502,-73.9946
40.7783,-73.9608,40.7229,-74.0081
40.7737,-73.946,40.779,-73.9482
40.7619,-73.9899,40.7779,-73.982
40.7659,-73.9764,40.7874,-73.9745
40.7023,-73.9896,40.7756,-73.9827
40.7603,-73.9762,40.7535,-73.989
40.7532,-73.9801,40.7743,-73.989
40.7684,-73.9637,40.7629,-73.9654
40.7279,-73.9952,40.763,-73.9625
40.7738,-73.9639,40.7744,-73.9839
40.76,-73.9735,40.7152,-74.016
40.7171,-74.0131,40.7515,-74.0015
40.7528,-73.9851,40.645,-73.7811
40.7504,-73.9688,40.7365,-73.9848
40.72,-74.0092,40.75,-73.9917
40.7658,-73.9942,40.7147,-73.954
40.7636,-73.9715,40.7738,-73.9577
40.7852,-73.9731,40.7292,-74.0025
40.7507,-73.9748,40.7563,-73.9643
40.75,-73.9916,40.7499,-73.9836
40.7543,-73.9918,40.7902,-73.9457
40.7848,-73.9538,40.7856,-73.9489
40.6691,-73.9595,40.7425,-73.9803
40.7577,-73.9678,40.7051,-74.0073
40.7555,-73.98,40.7343,-73.9956
40.7521,-74.0047,40.7696,-73.9559
40.7339,-73.9892,40.7447,-73.9809
40.7146,-74.0138,40.7675,-73.9551
40.7631,-73.9819,40.7732,-73.946
40.8116,-73.95,40.7825,-73.981
40.738,-73.9815,40.7149,-74.0162
40.7439,-73.9949,40.7565,-73.9977
40.7483,-73.9922,40.7647,-73.9625
40.7744,-73.9847,40.6446,-73.7819
40.7622,-73.9721,40.745,-73.9807
40.7728,-73.9896,40.7671,-73.9638
40.7628,-73.9774,40.7533,-73.9777
40.741,-73.9898,40.7739,-73.8711
40.7868,-73.9529,40.764,-73.9782
40.7148,-74.0137,40.7454,-73.9889
40.7663,-73.9717,40.7172,-74.0143
40.7619,-73.9796,40.7443,-73.9761
40.793,-73.9758,40.7424,-73.997
40.7387,-73.9918,40.7844,-73.9492
