n,cost,run_time
1,0.000316228,2.56211
2,0.000416228,4.62e-06
3,0.000516228,4.34e-06
4,0.000616228,4.3e-06
5,0.00106344,4.26e-06
6,0.00116344,4.16e-06
7,0.00183426,3.94e-06
8,0.00234416,4.451e-06
9,0.00270472,5.51e-06
10,0.00333717,4.32e-06
11,0.00333717,4.67e-06
12,0.00392027,4.2e-06
13,0.00586192,4.08e-06
14,0.00617815,4.549e-06
15,0.00729618,4.409e-06
16,0.00729618,4.36e-06
17,0.00759618,4.46e-06
18,0.00822864,4.55e-06
19,0.00858919,4.069e-06
20,0.00858919,4.54e-06
21,0.0092295,4.08e-06
22,0.0101729,4.23e-06
23,0.0102729,5.82e-06
24,0.0110791,4.509e-06
25,0.0113791,4.2e-06
26,0.0116791,4.23e-06
27,0.011962,4.1e-06
28,0.012062,4.391e-06
29,0.0123782,4.32e-06
30,0.0128025,4.24e-06
31,0.0132148,4.03e-06
32,0.0134148,4.471e-06
33,0.0137753,4.62e-06
34,0.0149415,4.37e-06
35,0.0151651,4.16e-06
36,0.0153065,4.66e-06
37,0.0156228,4.54e-06
38,0.0178182,4.32e-06
39,0.0179182,6.18e-06
40,0.0179182,4.51e-06
41,0.0199431,4.409e-06
42,0.0199431,4.61e-06
43,0.0199431,4.55e-06
44,0.0200431,4.22e-06
45,0.0201431,4.5e-06
46,0.0210033,4.39e-06
47,0.0211033,4.5e-06
48,0.0212033,4.5e-06
49,0.0217132,4.29e-06
50,0.0226187,4.31e-06
51,0.0227187,4.7e-06
52,0.0228602,4.5e-06
53,0.0231602,6.35e-06
54,0.0232602,4.71e-06
55,0.0234838,4.42e-06
56,0.0235838,4.23e-06
57,0.0238074,4.671e-06
58,0.0239074,4.38e-06
59,0.0243316,4.329e-06
60,0.0244731,4.43e-06
61,0.0252793,4.59e-06
62,0.0253793,4.56e-06
63,0.0256029,4.47e-06
64,0.0259029,4.6e-06
65,0.0260443,4.73e-06
66,0.027126,4.43e-06
67,0.027426,4.49e-06
68,0.0277865,4.58e-06
69,0.0277865,4.4e-06
70,0.0280101,4.32e-06
71,0.0283707,4.94e-06
72,0.0290707,4.34e-06
73,0.0292943,6.19e-06
74,0.0299651,4.91e-06
75,0.0301065,4.439e-06
76,0.0302065,4.3e-06
77,0.0307065,4.42e-06
78,0.0309302,4.52e-06
79,0.0311538,4.479e-06
80,0.0316538,4.5e-06
81,0.032078,4.07e-06
82,0.032278,4.51e-06
83,0.0325609,4.7e-06
84,0.0328437,4.89e-06
85,0.034233,4.28e-06
86,0.0346453,4.29e-06
87,0.0348453,4.72e-06
88,0.0356515,5.75e-06
89,0.0358515,4.44e-06
90,0.0363614,4.13e-06
91,0.0366776,4.64e-06
92,0.0369012,4.39e-06
93,0.0369012,4.76e-06
94,0.0376628,4.59e-06
95,0.0384438,4.52e-06
96,0.0385438,4.46e-06
97,0.0387438,4.659e-06
98,0.0389674,4.75e-06
99,0.0392503,4.73e-06
100,0.0394739,4.43e-06
101,0.0396739,4.57e-06
102,0.040395,6.24e-06
103,0.040495,4.9e-06
104,0.041417,4.48e-06
105,0.0416406,4.61e-06
106,0.0418406,4.61e-06
107,0.0425477,4.36e-06
108,0.0426891,4.22e-06
109,0.0429719,4.45e-06
110,0.0430719,4.9e-06
111,0.0432955,4.57e-06
112,0.0439038,4.42e-06
113,0.0441274,4.72e-06
114,0.0444436,4.33e-06
115,0.044856,4.77e-06
116,0.044856,6.171e-06
117,0.0460725,4.489e-06
118,0.0469945,4.6e-06
119,0.0478191,4.8e-06
120,0.0481353,4.67e-06
121,0.0481353,4.58e-06
122,0.0482353,4.489e-06
123,0.0482353,4.68e-06
124,0.0483353,4.62e-06
125,0.0489756,4.51e-06
126,0.0492585,4.6e-06
127,0.0499656,4.299e-06
128,0.0502818,4.291e-06
129,0.0503818,5.071e-06
130,0.0507818,5.291e-06
131,0.0510054,4.779e-06
132,0.0514177,4.56e-06
133,0.0516413,4.68e-06
134,0.0520413,4.62e-06
135,0.0521413,4.86e-06
136,0.0521413,4.64e-06
137,0.0525413,4.52e-06
138,0.0525413,4.77e-06
139,0.0526827,4.831e-06
140,0.0528827,4.389e-06
141,0.053199,4.649e-06
142,0.0536232,5.21e-06
143,0.0538468,4.49e-06
144,0.0539468,5.49e-06
145,0.0540883,4.53e-06
146,0.0544883,4.56e-06
147,0.0544883,4.56e-06
148,0.0544883,4.95e-06
149,0.0547883,4.39e-06
150,0.055354,4.28e-06
151,0.055454,4.64e-06
152,0.0560943,4.41e-06
153,0.0561943,4.55e-06
154,0.0568025,4.26e-06
155,0.0571188,4.69e-06
156,0.0576188,4.63e-06
157,0.0577602,4.53e-06
158,0.0578602,5.81e-06
159,0.0581764,4.37e-06
160,0.0584593,4.8e-06
161,0.0586007,4.72e-06
162,0.0587007,4.23e-06
163,0.0587007,4.74e-06
164,0.0588007,4.64e-06
165,0.0589007,4.669e-06
166,0.0591835,4.64e-06
167,0.0598543,4.58e-06
168,0.0603016,4.44e-06
169,0.0604016,4.55e-06
170,0.0605016,4.69e-06
171,0.0609139,4.49e-06
172,0.0614139,5.52e-06
173,0.0615139,4.419e-06
174,0.0618744,4.869e-06
175,0.0625069,4.44e-06
176,0.0625069,4.61e-06
177,0.0626069,4.81e-06
178,0.0626069,4.51e-06
179,0.0629231,4.58e-06
180,0.0635556,4.779e-06
181,0.0636556,4.65e-06
182,0.0639718,4.64e-06
183,0.0640718,5.15e-06
184,0.0644841,4.6e-06
185,0.0646255,4.691e-06
186,0.0647669,4.78e-06
187,0.06535,6.07e-06
188,0.0680408,4.48e-06
189,0.0684013,4.63e-06
190,0.0684013,4.689e-06
191,0.0685427,4.43e-06
192,0.0686427,4.58e-06
193,0.0687427,4.62e-06
194,0.0689427,4.509e-06
195,0.0691663,4.31e-06
196,0.06939,4.67e-06
197,0.0696136,4.72e-06
198,0.0706185,4.82e-06
199,0.0711285,4.45e-06
200,0.0713285,4.19e-06
201,0.0717285,5.5e-06
202,0.0719285,4.17e-06
203,0.0720285,4.7e-06
204,0.0722521,4.769e-06
205,0.073174,5.08e-06
206,0.0734902,4.75e-06
207,0.0737138,4.889e-06
208,0.0738553,4.67e-06
209,0.0741553,4.55e-06
210,0.0742553,4.769e-06
211,0.0745553,5.07e-06
212,0.0755402,4.57e-06
213,0.0759644,4.909e-06
214,0.0761644,4.34e-06
215,0.076525,5.82e-06
216,0.0774194,5.429e-06
217,0.0816832,4.46e-06
218,0.0818832,4.79e-06
219,0.0821994,4.77e-06
220,0.0828319,4.66e-06
221,0.0831147,4.73e-06
222,0.0832561,5.03e-06
223,0.0832561,4.64e-06
224,0.0834798,4.38e-06
225,0.0835798,4.84e-06
226,0.0835798,5.18e-06
227,0.0838798,4.74e-06
228,0.084327,4.78e-06
229,0.084427,6.01e-06
230,0.0850978,4.63e-06
231,0.0853214,4.52e-06
232,0.0853214,4.74e-06
233,0.0855214,4.68e-06
234,0.0859686,4.95e-06
235,0.0861686,4.79e-06
236,0.0864848,4.619e-06
237,0.0864848,4.92e-06
238,0.0867677,5.08e-06
239,0.0873334,5.36e-06
240,0.0879165,4.58e-06
241,0.0881401,4.91e-06
242,0.0881401,4.73e-06
243,0.0896632,5.27e-06
244,0.0899632,5.18e-06
245,0.0903238,4.82e-06
246,0.0910854,4.73e-06
247,0.0913854,4.75e-06
248,0.0917854,4.79e-06
249,0.0923685,4.62e-06
250,0.0926685,4.78e-06
251,0.0928921,4.72e-06
252,0.0929921,4.28e-06
253,0.0931335,4.65e-06
254,0.0934335,4.5e-06
255,0.0938807,4.86e-06
256,0.0944807,4.62e-06
257,0.0949807,5.05e-06
