n,cost,execution_time
1,0.542092,0.000077
2,0.542517,0.000181
3,0.542617,0.000034
4,0.543932,0.000044
5,0.544032,0.000031
6,0.544173,0.000029
7,0.544273,0.000034
8,0.556511,0.000147
9,0.556735,0.000025
10,0.556958,0.000025
11,0.557058,0.000027
12,0.557058,0.000020
13,0.557158,0.000028
14,0.557300,0.000027
15,0.557500,0.000213
16,0.557600,0.000025
17,0.557700,0.000034
18,0.558370,0.000177
19,0.558470,0.000026
20,0.558570,0.000034
21,0.558853,0.000025
22,0.558853,0.000022
23,0.559153,0.000025
24,0.559469,0.000027
25,0.559611,0.000029
26,0.560111,0.000037
27,0.560211,0.000025
28,0.560711,0.000260
29,0.560811,0.000026
30,0.561011,0.000030
31,0.561111,0.000031
32,0.561471,0.000162
33,0.561971,0.000036
34,0.563364,0.000161
35,0.563588,0.000162
36,0.564309,0.000051
37,0.564409,0.000029
38,0.564725,0.000025
39,0.565453,0.000088
40,0.566585,0.000037
41,0.577452,0.000225
42,0.577552,0.000031
43,0.577652,0.000025
44,0.578359,0.000287
45,0.578500,0.000026
46,0.578700,0.000025
47,0.578841,0.000028
48,0.578941,0.000026
49,0.579480,0.000286
50,0.580063,0.000301
51,0.580263,0.000027
52,0.580363,0.000027
53,0.580463,0.000023
54,0.580563,0.000027
55,0.580924,0.000336
56,0.581065,0.000032
57,0.581065,0.000019
58,0.581265,0.000024
59,0.581365,0.000030
60,0.581777,0.000040
61,0.581977,0.000033
62,0.582425,0.000032
63,0.582525,0.000044
64,0.582748,0.000030
65,0.583248,0.000327
66,0.583448,0.000025
67,0.583748,0.000026
68,0.583848,0.000031
69,0.584072,0.000026
70,0.584272,0.000032
71,0.584413,0.000195
72,0.584513,0.000031
73,0.584913,0.000197
74,0.585229,0.000261
75,0.585937,0.000391
76,0.586037,0.000038
77,0.586537,0.000030
78,0.586737,0.000032
79,0.586737,0.000023
80,0.587037,0.000147
81,0.587337,0.000229
82,0.587969,0.000290
83,0.588330,0.000027
84,0.588430,0.000030
85,0.588630,0.000029
86,0.588630,0.000022
87,0.588946,0.000025
88,0.589087,0.000044
89,0.589815,0.000473
90,0.589957,0.000028
91,0.590718,0.000195
92,0.591079,0.000026
93,0.591491,0.000147
94,0.591591,0.000027
95,0.592130,0.000223
96,0.592130,0.000024
97,0.592640,0.000312
98,0.594389,0.000060
99,0.594889,0.000258
100,0.595089,0.000028
101,0.595289,0.000408
102,0.595389,0.000035
103,0.595489,0.000307
104,0.595805,0.000027
105,0.596252,0.000037
106,0.596394,0.000026
107,0.596710,0.000026
108,0.596810,0.000030
109,0.597010,0.000038
110,0.597293,0.000026
111,0.597393,0.000026
112,0.597593,0.000030
113,0.597816,0.000024
114,0.597916,0.000056
115,0.598316,0.000367
116,0.598599,0.000029
117,0.599232,0.000167
118,0.599656,0.000273
119,0.600016,0.000334
120,0.600333,0.000029
121,0.600474,0.000221
122,0.600574,0.000029
123,0.600716,0.000028
124,0.600816,0.000025
125,0.601176,0.000030
126,0.601982,0.000417
127,0.602182,0.000228
128,0.602282,0.000030
129,0.602482,0.000367
130,0.602765,0.000027
131,0.602865,0.000029
132,0.602865,0.000018
133,0.603089,0.000030
134,0.603937,0.000189
135,0.604254,0.000199
136,0.604254,0.000021
137,0.604454,0.000030
138,0.605054,0.000046
139,0.605754,0.000280
140,0.606201,0.000026
141,0.606501,0.000039
142,0.606724,0.000030
143,0.607431,0.000474
144,0.607573,0.000036
145,0.607796,0.000027
146,0.608113,0.000468
147,0.608721,0.000052
148,0.608921,0.000026
149,0.609727,0.000231
150,0.609869,0.000034
151,0.610069,0.000026
152,0.610701,0.000290
153,0.610843,0.000026
154,0.611043,0.000028
155,0.611325,0.000025
156,0.611325,0.000025
157,0.611864,0.000388
158,0.612535,0.000039
159,0.612635,0.000028
160,0.613145,0.000038
161,0.613245,0.000031
162,0.613345,0.000028
163,0.613845,0.000417
164,0.613945,0.000029
165,0.614227,0.000025
166,0.614327,0.000030
167,0.614427,0.000025
168,0.614527,0.000026
169,0.614627,0.000032
170,0.614988,0.000354
171,0.615088,0.000034
172,0.615229,0.000028
173,0.615329,0.000030
174,0.615429,0.000036
175,0.616029,0.000442
176,0.616129,0.000029
177,0.616629,0.000435
178,0.617139,0.000212
179,0.617363,0.000033
180,0.617363,0.000019
181,0.617587,0.000031
182,0.618170,0.000284
183,0.618708,0.000534
184,0.618808,0.000030
185,0.621088,0.000039
186,0.621788,0.000354
187,0.622188,0.000033
188,0.622829,0.000090
189,0.623052,0.000467
190,0.623152,0.000036
191,0.623793,0.000532
192,0.624093,0.000372
193,0.624293,0.000028
194,0.624576,0.000031
195,0.625430,0.000055
196,0.625530,0.000091
197,0.626040,0.000450
198,0.626140,0.000028
199,0.628559,0.000036
200,0.628841,0.000027
201,0.629641,0.000186
202,0.629641,0.000023
203,0.629741,0.000033
204,0.629883,0.000028
205,0.630106,0.000035
206,0.630306,0.000027
207,0.630530,0.000027
208,0.630671,0.000032
209,0.630895,0.000033
210,0.631095,0.000030
211,0.631595,0.000704
212,0.632007,0.000406
213,0.632007,0.000023
214,0.632290,0.000028
215,0.632703,0.000312
216,0.633115,0.000294
217,0.633215,0.000029
218,0.633215,0.000019
219,0.633356,0.000027
220,0.633456,0.000027
221,0.633817,0.000112
222,0.634177,0.000027
223,0.634454,0.000436
224,0.634677,0.000028
225,0.634777,0.000030
226,0.634877,0.000027
227,0.634977,0.000036
228,0.635294,0.000249
229,0.635494,0.000027
230,0.635594,0.000027
231,0.635876,0.000548
232,0.636476,0.000397
233,0.636793,0.000387
234,0.636793,0.000025
235,0.636934,0.000032
236,0.637217,0.000031
237,0.637441,0.000030
238,0.638041,0.000585
239,0.638488,0.000029
240,0.638488,0.000021
241,0.638588,0.000031
242,0.638588,0.000019
243,0.639171,0.000621
244,0.639394,0.000027
245,0.640526,0.000094
246,0.640626,0.000032
247,0.640826,0.000026
248,0.640820,0.000266
249,0.641020,0.000027
250,0.641220,0.000030
251,0.642126,0.000196
252,0.642326,0.000030
253,0.642642,0.000032
254,0.642642,0.000020
255,0.643042,0.000279
256,0.643265,0.000028
257,0.647073,0.000146
258,0.647389,0.000026
259,0.647531,0.000027
260,0.647755,0.000027
261,0.648255,0.000835
262,0.649079,0.000265
263,0.649579,0.000486
264,0.649940,0.000031
265,0.650740,0.000407
266,0.650881,0.000028
267,0.651305,0.000067
268,0.651529,0.000029
269,0.652112,0.000227
270,0.652254,0.000031
271,0.653148,0.000209
272,0.653548,0.000025
273,0.653548,0.000020
274,0.653748,0.000174
275,0.655941,0.000046
276,0.656041,0.000033
277,0.656041,0.000020
278,0.656183,0.000027
279,0.656283,0.000025
280,0.656424,0.000027
281,0.656648,0.000025
282,0.657148,0.000025
283,0.657371,0.000025
284,0.658196,0.000458
285,0.658479,0.000327
286,0.659017,0.000091
287,0.659159,0.000025
288,0.659159,0.000022
289,0.660504,0.000058
290,0.660504,0.000020
291,0.660645,0.000026
292,0.661155,0.000202
293,0.661555,0.000029
294,0.661655,0.000029
295,0.662016,0.000028
296,0.662316,0.000024
297,0.662899,0.000712
298,0.663123,0.000041
299,0.664123,0.000174
300,0.664851,0.000252
301,0.666620,0.000046
302,0.666720,0.000028
303,0.666820,0.000023
304,0.667358,0.000086
305,0.667458,0.000026
306,0.667741,0.000030
307,0.668341,0.000211
308,0.668974,0.000763
309,0.669780,0.000542
310,0.670080,0.000033
311,0.670396,0.000027
312,0.670537,0.000029
313,0.671076,0.000912
314,0.671614,0.000466
315,0.671714,0.000053
316,0.671997,0.000025
317,0.672725,0.000932
318,0.673755,0.000041
319,0.673978,0.000035
320,0.674120,0.000027
321,0.674420,0.000030
322,0.674620,0.000030
323,0.675348,0.000045
324,0.675489,0.000030
325,0.675889,0.000295
326,0.676189,0.000204
327,0.679795,0.000038
328,0.680700,0.000065
329,0.680924,0.000030
330,0.681148,0.000025
331,0.681289,0.000024
332,0.681855,0.000240
333,0.681955,0.000030
334,0.682379,0.000027
335,0.682791,0.000022
336,0.683512,0.000042
337,0.684051,0.000038
338,0.684589,0.000530
339,0.684889,0.000030
340,0.686859,0.000099
341,0.687359,0.000235
342,0.687459,0.000058
343,0.689162,0.000038
344,0.689304,0.000026
345,0.689445,0.000027
346,0.689857,0.000043
347,0.689857,0.000020
348,0.689999,0.000027
349,0.690631,0.000411
350,0.691412,0.000045
351,0.692174,0.000232
352,0.692174,0.000020
353,0.692902,0.000721
354,0.693043,0.000044
355,0.693359,0.000031
356,0.693359,0.000026
357,0.693859,0.000029
358,0.694001,0.000032
359,0.694317,0.000032
360,0.694517,0.000026
361,0.695342,0.000050
362,0.695658,0.000028
363,0.695758,0.000030
364,0.695858,0.000026
365,0.696358,0.001063
366,0.697086,0.000048
367,0.697086,0.000029
368,0.697186,0.000024
369,0.697327,0.000026
370,0.697527,0.000026
371,0.697727,0.000025
372,0.698010,0.000321
373,0.698593,0.000263
374,0.699499,0.000413
375,0.699599,0.000035
376,0.699822,0.000030
377,0.700105,0.000027
378,0.700812,0.000126
379,0.700912,0.000027
380,0.701053,0.000030
381,0.701465,0.000025
382,0.702360,0.000280
383,0.702643,0.000421
384,0.702643,0.000018
385,0.702843,0.000029
386,0.703143,0.000340
387,0.703343,0.000038
388,0.703543,0.000029
389,0.703543,0.000020
390,0.704349,0.000047
391,0.704572,0.000027
392,0.704672,0.000025
393,0.704896,0.000025
394,0.706430,0.000142
395,0.706530,0.000028
396,0.706630,0.000027
397,0.706730,0.000029
398,0.707296,0.000048
399,0.707806,0.000235
400,0.707947,0.000028
401,0.708395,0.000154
402,0.708618,0.000025
403,0.708760,0.000024
404,0.709232,0.000177
405,0.709644,0.000113
406,0.709867,0.000086
407,0.710067,0.000032
408,0.710167,0.000025
409,0.710367,0.000049
410,0.710933,0.000054
411,0.711380,0.000059
412,0.711580,0.000027
413,0.712028,0.000841
414,0.712028,0.000022
415,0.712128,0.000026
416,0.712269,0.000032
417,0.712681,0.000030
418,0.713352,0.000869
419,0.714114,0.000116
420,0.714214,0.000031
421,0.714437,0.000029
422,0.715359,0.000056
423,0.715501,0.000030
424,0.715724,0.000025
425,0.716914,0.000044
426,0.717584,0.000400
427,0.717684,0.000031
428,0.718234,0.000511
429,0.719471,0.000065
430,0.719671,0.000025
431,0.720032,0.000028
432,0.720255,0.000029
433,0.720479,0.000688
434,0.720620,0.000028
435,0.720820,0.000045
436,0.721601,0.000058
437,0.722140,0.000264
438,0.722340,0.000029
439,0.722878,0.000326
440,0.723078,0.000025
441,0.723840,0.001143
442,0.725678,0.000055
443,0.726078,0.000264
444,0.726678,0.000060
445,0.727485,0.000464
446,0.727785,0.000032
447,0.728068,0.000025
448,0.728209,0.000029
449,0.728350,0.000027
450,0.728550,0.000031
451,0.728963,0.000454
452,0.729787,0.000262
453,0.730297,0.000483
454,0.731246,0.000066
455,0.731246,0.000023
456,0.731387,0.000027
457,0.731704,0.000030
458,0.731904,0.000025
459,0.732127,0.000025
460,0.732227,0.000026
461,0.732327,0.000031
462,0.732327,0.000023
463,0.732427,0.000027
464,0.732527,0.000026
465,0.732751,0.000025
466,0.732892,0.000024
467,0.732992,0.000034
468,0.733192,0.000027
469,0.733416,0.000036
470,0.735136,0.000142
471,0.735336,0.000026
472,0.735777,0.000969
473,0.736001,0.000239
474,0.736641,0.000766
475,0.737088,0.000037
476,0.737404,0.000027
477,0.737628,0.000028
478,0.738733,0.000096
479,0.739093,0.000511
480,0.739540,0.000092
481,0.739640,0.000031
482,0.740223,0.000478
483,0.740829,0.000296
484,0.740929,0.000030
485,0.741129,0.000027
486,0.741694,0.000359
487,0.741994,0.000024
488,0.742712,0.000180
489,0.742935,0.000033
490,0.743544,0.000174
491,0.743644,0.000026
492,0.743844,0.000028
493,0.743944,0.000029
494,0.744085,0.000025
495,0.744309,0.000027
496,0.744409,0.000056
497,0.744691,0.000026
498,0.744974,0.000025
499,0.745374,0.000769
500,0.745657,0.000025
501,0.745657,0.000021
502,0.746104,0.000025
503,0.750049,0.000027
504,0.750249,0.000026
505,0.750449,0.000025
506,0.750649,0.000026
507,0.750749,0.000029
508,0.750849,0.000026
509,0.752336,0.000041
510,0.752919,0.000062
511,0.753819,0.000339
512,0.753960,0.000025
513,0.754866,0.000307
514,0.755007,0.000028
515,0.755331,0.000039
516,0.756001,0.001420
517,0.756001,0.000026
518,0.756449,0.000282
519,0.756809,0.000029
520,0.757009,0.000031
521,0.757309,0.000026
522,0.757451,0.000029
523,0.758102,0.000816
524,0.758279,0.000081
525,0.759419,0.000052
526,0.759866,0.000214
527,0.760366,0.000564
528,0.760508,0.000082
529,0.760608,0.000030
530,0.761812,0.000180
531,0.762035,0.000030
532,0.762668,0.000150
533,0.762951,0.000029
534,0.763351,0.000028
535,0.763451,0.000028
536,0.763451,0.000022
537,0.763451,0.000020
538,0.763989,0.000376
539,0.764789,0.000107
540,0.764789,0.000022
541,0.764789,0.000022
542,0.765089,0.000593
543,0.765672,0.000563
544,0.765772,0.000052
545,0.766381,0.000061
546,0.768415,0.000186
547,0.768556,0.000027
548,0.769256,0.000336
549,0.769573,0.000025
550,0.769714,0.000029
551,0.769856,0.000028
552,0.770216,0.000573
553,0.770335,0.000474
554,0.770435,0.000031
555,0.770717,0.000028
556,0.771639,0.000485
557,0.771839,0.000029
558,0.772122,0.000026
559,0.772264,0.000027
560,0.772364,0.000024
561,0.772564,0.000029
562,0.772988,0.000146
563,0.773554,0.000032
564,0.773654,0.000034
565,0.773854,0.000029
566,0.774054,0.000025
567,0.774277,0.000246
568,0.774677,0.000027
569,0.775101,0.000033
570,0.777322,0.000042
571,0.777962,0.001384
572,0.778103,0.000047
573,0.778203,0.000025
574,0.778427,0.000027
575,0.779189,0.000576
576,0.780089,0.000116
577,0.780389,0.000046
578,0.780489,0.000027
579,0.780489,0.000019
580,0.780849,0.000032
581,0.780949,0.000032
582,0.781049,0.000047
583,0.781559,0.000040
584,0.781783,0.000024
585,0.781983,0.000026
586,0.782083,0.000031
587,0.782183,0.000030
588,0.782791,0.000613
589,0.783107,0.000027
590,0.785549,0.000062
591,0.785772,0.000244
592,0.786272,0.000932
593,0.786372,0.000030
594,0.786980,0.000316
595,0.787480,0.000054
596,0.787797,0.000025
597,0.788113,0.000028
598,0.788213,0.000029
599,0.788313,0.000027
600,0.788313,0.000018
601,0.788896,0.000122
602,0.788896,0.000028
603,0.789196,0.000025
604,0.789557,0.000032
605,0.789698,0.000025
606,0.789898,0.000027
607,0.789898,0.000021
608,0.789998,0.000025
609,0.791801,0.000042
610,0.792024,0.000026
611,0.792224,0.000028
612,0.792224,0.000018
613,0.792724,0.000430
614,0.793333,0.000667
