n,cost,run_time
1,1.42594,2.22034
2,1.51192,3.721e-06
3,2.63808,3.44e-06
4,3.60338,3.23e-06
5,3.93388,4.08e-06
6,5.38213,3.13e-06
7,5.75656,3.401e-06
8,6.58956,3.36e-06
9,7.20601,3.121e-06
10,8.13994,3.11e-06
11,8.68001,3.34e-06
12,9.28621,3.491e-06
13,9.81458,3.26e-06
14,10.2332,3.361e-06
15,10.4182,3.32e-06
16,11.4019,3.46e-06
17,12.2888,3.31e-06
18,13.24,3.59e-06
19,13.9231,3.26e-06
20,14.6362,3.221e-06
21,14.853,3.141e-06
22,15.1957,3.041e-06
23,16.4618,3.16e-06
24,16.9574,3.511e-06
25,17.6906,3.14e-06
26,18.2716,3.59e-06
27,18.8939,3.201e-06
28,19.6067,3.37e-06
29,20.1895,3.28e-06
30,20.2732,3.761e-06
31,21.3481,3.22e-06
32,22.6364,3.2e-06
33,24.0559,3.52e-06
34,24.3231,3.91e-06
35,25.5703,3.74e-06
36,27.3004,3.28e-06
37,27.713,3.49e-06
38,28.1487,3.26e-06
39,29.5942,3.32e-06
40,31.0275,3.27e-06
41,31.5533,3e-06
42,32.8088,3.36e-06
43,33.6316,3.23e-06
44,33.8188,3.39e-06
45,34.154,3.42e-06
46,34.9723,3.45e-06
47,36.1654,3.51e-06
48,37.2194,3.4e-06
49,37.862,3.501e-06
50,38.2595,3.461e-06
51,39.1488,3.43e-06
52,39.3382,3.79e-06
53,40.5823,3.69e-06
54,41.0267,3.431e-06
55,41.8581,3.6e-06
56,42.111,3.64e-06
57,43.8122,3.53e-06
58,44.1029,3.53e-06
59,44.8816,3.29e-06
60,44.962,3.631e-06
61,46.1716,3.48e-06
62,46.8257,3.35e-06
63,48.0958,3.491e-06
64,48.9362,3.54e-06
65,51.1058,3.44e-06
66,51.4164,3.481e-06
67,51.9888,3.67e-06
68,52.1908,3.88e-06
69,52.6074,3.66e-06
70,52.6886,3.47e-06
71,52.8398,3.62e-06
72,53.2922,3.56e-06
73,53.7734,3.46e-06
74,54.5429,3.59e-06
75,55.2805,3.56e-06
76,55.6439,3.531e-06
77,56.7359,3.71e-06
78,57.4984,3.42e-06
79,58.0862,3.91e-06
80,58.988,3.74e-06
81,60.6128,3.52e-06
82,61.1251,3.581e-06
83,61.651,3.43e-06
84,62.1363,3.391e-06
85,63.095,3.251e-06
86,63.755,3.43e-06
87,64.2024,3.65e-06
88,65.3113,3.381e-06
89,66.0058,3.39e-06
90,66.7094,3.5e-06
91,67.6549,3.59e-06
92,68.2424,3.57e-06
93,68.5856,3.41e-06
94,69.2135,3.38e-06
95,69.6255,3.381e-06
96,70.5786,3.581e-06
97,71.1709,3.601e-06
98,72.6996,3.241e-06
99,74.8585,3.511e-06
100,75.37,3.421e-06
101,76.5681,3.49e-06
102,77.6882,3.39e-06
103,78.7409,3.44e-06
104,79.19,3.37e-06
105,80.1157,3.59e-06
106,81.3023,3.391e-06
107,81.8432,3.38e-06
108,82.7294,3.22e-06
109,83.4788,3.511e-06
110,84.9014,3.52e-06
111,85.6552,3.78e-06
112,86.0622,3.73e-06
113,86.6229,3.38e-06
114,87.8299,3.91e-06
115,88.569,3.62e-06
116,89.2876,3.311e-06
117,89.4887,3.96e-06
118,91.3631,3.49e-06
119,91.8601,3.65e-06
120,92.2105,3.66e-06
121,92.6321,3.96e-06
122,93.9221,3.42e-06
123,95.0981,3.72e-06
124,95.5742,3.501e-06
125,96.2625,3.93e-06
126,96.6511,3.361e-06
127,97.4556,3.401e-06
128,98.7745,3.5e-06
129,99.4531,3.99e-06
130,99.7725,4.13e-06
131,99.943,3.69e-06
132,101.312,3.86e-06
133,102.131,3.9e-06
134,102.754,3.39e-06
135,104.099,3.67e-06
136,105.264,3.52e-06
137,106.563,3.64e-06
138,107.922,3.581e-06
139,109.393,3.54e-06
140,110.129,3.55e-06
141,112.574,3.47e-06
142,113.488,3.271e-06
143,115.224,3.831e-06
144,115.736,3.58e-06
145,116.391,3.6e-06
146,116.803,3.55e-06
147,117.606,3.67e-06
148,118.138,3.78e-06
149,118.26,3.96e-06
150,119.637,3.53e-06
151,119.87,3.901e-06
152,120.287,3.87e-06
153,121.228,3.361e-06
154,122.229,3.71e-06
155,122.959,3.511e-06
156,123.558,3.65e-06
157,124.405,3.77e-06
158,125.054,3.701e-06
159,125.716,3.85e-06
160,127.337,3.78e-06
161,127.858,3.511e-06
162,128.222,3.63e-06
163,128.601,3.511e-06
164,129.269,3.59e-06
165,129.661,3.95e-06
166,130.312,3.66e-06
167,130.839,3.481e-06
168,131.244,3.66e-06
169,132.096,3.65e-06
170,132.323,3.79e-06
171,133.555,3.44e-06
172,133.659,4.01e-06
173,134.214,3.79e-06
174,134.83,3.74e-06
175,136.596,3.871e-06
176,139.315,3.47e-06
177,140.926,3.38e-06
178,142.816,3.45e-06
179,143.94,3.57e-06
180,144.572,3.581e-06
181,145.906,3.55e-06
182,147.052,3.71e-06
183,148.921,3.38e-06
184,149.052,3.48e-06
185,150.382,3.78e-06
186,151.284,3.78e-06
187,151.988,3.58e-06
188,152.892,3.941e-06
189,152.976,3.51e-06
190,153.658,3.67e-06
191,154.224,3.67e-06
192,154.452,4.08e-06
193,154.764,3.591e-06
194,155.07,3.61e-06
195,155.919,3.54e-06
196,156.404,3.67e-06
197,158.49,3.41e-06
198,159.336,3.91e-06
199,160.431,3.89e-06
200,160.981,4e-06
201,161.643,3.721e-06
202,164.195,4.331e-06
203,164.832,3.4e-06
204,164.91,3.8e-06
205,166.996,3.84e-06
206,167.853,8.191e-06
207,170.028,3.921e-06
208,170.933,3.57e-06
209,171.825,3.72e-06
210,173.22,3.79e-06
211,173.846,3.66e-06
212,174.13,3.64e-06
213,174.862,3.69e-06
214,175.276,3.8e-06
215,176.124,3.57e-06
216,177.744,3.68e-06
217,178.081,3.58e-06
218,178.592,3.46e-06
219,180.722,3.53e-06
220,181.325,3.91e-06
221,182.818,3.75e-06
222,183.223,3.99e-06
223,184.336,3.6e-06
224,184.812,3.7e-06
225,185.834,3.381e-06
226,186.456,3.71e-06
227,187.393,3.64e-06
