n,cost,execution_time
1,0.522157,0.000052
2,1.187960,0.000031
3,1.342300,0.000032
4,1.480280,0.000031
5,2.695550,0.000267
6,3.739740,0.000298
7,4.412770,0.000031
8,4.772730,0.000031
9,5.617000,0.000296
10,6.259330,0.000032
11,6.972020,0.000314
12,8.287780,0.000310
13,8.731360,0.000032
14,9.769600,0.000287
15,10.527500,0.000221
16,10.896200,0.000035
17,11.253100,0.000032
18,11.388300,0.000039
19,11.956700,0.000030
20,12.287800,0.000034
21,13.579900,0.000308
22,14.199600,0.000034
23,15.247700,0.000031
24,16.520400,0.000295
25,17.892000,0.000108
26,19.185900,0.000225
27,19.563400,0.000030
28,20.297200,0.000310
29,20.317900,0.000031
30,21.080400,0.000332
31,21.781300,0.000030
32,21.823900,0.000031
33,22.242200,0.000035
34,22.839800,0.000032
35,23.480900,0.000319
36,24.733200,0.000307
37,25.931100,0.000279
38,26.384800,0.000032
39,26.906700,0.000200
40,27.250700,0.000034
41,27.450400,0.000031
42,28.535700,0.000291
43,29.234600,0.000327
44,30.589500,0.000368
45,30.902600,0.000034
46,31.246300,0.000032
47,32.113600,0.000321
48,33.330300,0.000280
49,33.897100,0.000031
50,34.296200,0.000031
51,34.698500,0.000029
52,35.223000,0.000331
53,36.267900,0.000193
54,36.418500,0.000035
55,36.749200,0.000034
56,37.506300,0.000305
57,38.159400,0.000315
58,38.471900,0.000031
59,38.568500,0.000034
60,38.921900,0.000030
61,39.616400,0.000300
62,40.177200,0.000296
63,40.720300,0.000194
64,41.952200,0.000364
65,42.061600,0.000031
66,42.743300,0.000033
67,43.618300,0.000391
68,44.668300,0.000309
69,45.763200,0.000331
70,46.571200,0.000351
71,46.790400,0.000033
72,47.700200,0.000288
73,48.763000,0.000416
74,49.300000,0.000311
75,49.876200,0.000406
76,50.861500,0.000313
77,51.744100,0.000404
78,52.023800,0.000036
79,52.145800,0.000031
80,53.695200,0.000466
81,54.224300,0.000333
82,55.037100,0.000749
83,55.227500,0.000031
84,55.876600,0.000300
85,57.001900,0.000718
86,57.204400,0.000032
87,58.466700,0.000282
88,58.708600,0.000032
89,59.012800,0.000030
90,59.611700,0.000330
91,60.358900,0.000383
92,61.373300,0.000286
93,61.457100,0.000033
94,62.195600,0.000031
95,62.517500,0.000322
96,63.732600,0.000264
97,64.405500,0.000293
98,64.884600,0.000030
99,65.429000,0.000390
100,66.267600,0.000200
101,67.560400,0.000398
102,68.094600,0.000196
103,68.413000,0.000033
104,69.160700,0.000298
105,70.520400,0.000349
106,71.480700,0.000328
107,72.463000,0.000191
108,72.751000,0.000033
109,73.611800,0.000038
110,74.634000,0.000195
111,74.832800,0.000031
112,76.055300,0.000229
113,76.427000,0.000432
114,77.217100,0.000566
115,77.679700,0.000031
116,78.943400,0.000298
117,80.637700,0.000405
118,81.059100,0.000466
119,82.745500,0.000297
120,83.036200,0.000033
121,83.439300,0.000032
122,83.550700,0.000033
123,83.690100,0.000034
124,84.083100,0.000031
125,85.618800,0.000365
126,86.641000,0.000283
127,87.049500,0.000029
128,87.530300,0.000388
129,87.645600,0.000031
130,88.816100,0.000257
131,89.416800,0.000028
132,90.248200,0.000316
133,91.510000,0.000274
134,92.055800,0.000340
135,92.208900,0.000031
136,92.466700,0.000034
137,92.976300,0.000033
138,93.922000,0.000449
139,94.703400,0.000215
140,95.332200,0.000097
141,95.585000,0.000029
142,95.883300,0.000031
143,96.102500,0.000032
144,96.660300,0.000031
145,96.761500,0.000029
146,97.134400,0.000028
147,97.787000,0.000029
148,98.004300,0.000029
149,99.609000,0.000211
150,100.760000,0.000415
151,101.613000,0.000348
152,102.023000,0.000031
153,102.500000,0.000031
154,102.637000,0.000031
155,103.096000,0.000292
156,104.386000,0.000362
157,104.978000,0.000041
158,105.256000,0.000028
159,105.781000,0.000389
160,106.288000,0.000393
161,106.685000,0.000033
162,106.744000,0.000031
163,107.579000,0.000313
164,108.923000,0.000377
165,109.229000,0.000030
166,110.210000,0.000283
167,110.633000,0.000371
168,111.921000,0.000365
169,112.088000,0.000032
170,112.731000,0.000326
171,113.251000,0.000031
172,113.842000,0.000035
173,114.089000,0.000470
174,114.715000,0.000030
175,115.322000,0.000032
176,115.966000,0.000029
177,117.465000,0.000460
178,118.323000,0.000303
179,118.910000,0.000030
180,119.094000,0.000030
181,119.653000,0.000030
182,121.047000,0.000338
183,122.014000,0.000224
184,122.816000,0.000294
185,123.610000,0.000375
186,124.600000,0.000431
187,125.532000,0.000368
188,126.058000,0.000042
189,127.222000,0.000475
190,127.437000,0.000437
191,128.438000,0.000503
192,130.061000,0.000277
