server_x,server_y,request_x,request_y
88.3814,97.7877,0.614903,84.9014
61.0036,37.2393,76.2885,24.1743
55.1551,43.4503,6.87237,60.9363
44.493,42.7536,65.0205,50.6086
3.46926,8.02408,14.4458,72.5846
37.8721,74.1313,61.2238,75.0741
18.8793,18.0206,12.2078,24.4463
93.1067,34.6067,94.1073,36.3819
4.73073,88.7876,34.0073,11.0566
29.5012,89.5027,10.1784,14.9718
88.1699,16.664,74.3568,24.2779
48.542,8.98799,25.4892,29.6163
13.9689,9.61586,57.7435,40.6563
71.319,44.6134,53.119,22.7367
56.6334,60.0201,84.4306,53.3646
89.8733,36.305,19.3538,1.68
41.215,18.6551,10.3507,43.8859
42.3033,24.3415,79.115,24.4878
8.38876,1.55833,13.6205,17.967
88.0994,69.1795,9.71277,66.9686
7.98773,28.9141,61.1039,2.73337
71.7648,72.7845,26.1551,3.04645
93.7684,99.6545,11.888,68.0475
30.7259,75.2956,92.4076,96.3441
42.9273,68.6788,81.9364,79.8742
19.7221,46.245,28.1816,78.0174
46.2546,45.4383,93.2637,99.9158
93.8476,81.924,40.9315,6.80835
55.0815,83.0542,15.9227,27.3341
32.0788,64.104,57.1766,8.28567
95.0987,74.4706,94.671,52.7996
32.1885,11.8362,35.2484,74.8898
5.37536,38.7992,76.7862,59.6006
43.6764,98.4704,65.0284,87.2964
58.0106,38.2631,71.7708,86.7452
58.4252,78.5123,52.1739,95.9077
83.8891,57.4268,76.068,71.5819
30.2734,48.5558,53.9404,40.6928
90.8506,16.7073,79.1894,48.3518
34.795,65.066,64.7608,58.9951
31.3554,46.4472,23.3972,43.2694
54.0302,33.7683,93.236,83.8902
57.3546,4.35408,97.4565,45.8426
88.5839,54.2014,46.4685,95.8481
64.4634,72.5073,67.7607,51.4198
6.56531,50.4117,42.9517,13.7648
70.0931,43.3187,47.561,13.3495
43.514,67.808,62.3499,52.3176
99.1127,74.938,85.71,25.2352
18.0563,30.3765,31.6137,65.7847
39.99,93.164,91.1089,45.2653
34.1033,33.1971,88.3491,99.0647
42.6608,0.517236,98.5147,76.2872
66.8111,82.6357,83.6209,46.0199
2.519,46.0547,38.4591,97.4848
93.3843,81.6193,53.757,45.5443
32.0198,57.9312,43.2249,25.3454
44.1356,47.0294,65.0122,52.5489
20.9054,89.6797,34.6242,9.60941
40.6697,78.9439,46.1877,90.5544
83.194,57.7479,97.1638,24.6562
31.7019,67.6281,92.732,26.7159
7.68738,9.10945,10.0052,24.5131
81.7801,27.1816,85.096,49.1569
84.8421,34.7155,62.3436,66.7548
2.59372,27.3092,85.5161,97.2006
29.6414,0.027267,66.2755,10.9191
60.9275,46.6364,74.1148,70.3774
63.3424,75.8119,91.0169,1.52299
18.7386,99.9098,35.9466,94.6534
54.1607,2.64264,36.3051,66.1906
55.3334,62.7821,83.8787,82.0148
25.8477,41.7955,35.9451,90.6268
26.5488,17.1031,84.3213,1.88785
66.2715,49.5603,82.0963,60.6091
36.4311,27.1121,72.9502,51.9435
29.2595,91.9577,4.35019,84.6103
57.0385,58.2671,38.731,33.11
75.1649,35.7234,56.2231,17.727
98.8239,68.5457,38.1163,59.5798
93.4527,37.7911,3.58585,47.2862
19.0869,18.5002,55.5029,89.8186
88.8473,30.7103,69.0513,56.4116
53.5544,13.8085,67.2902,56.1048
78.6485,11.5311,83.1532,12.2712
46.2125,34.81,80.9111,58.4074
78.8843,96.2164,90.553,2.09017
33.6062,39.0552,27.4995,21.6621
45.7957,84.5127,76.0626,4.91618
41.7179,25.1383,8.55056,81.5979
50.4542,50.4458,31.5262,49.764
37.4569,68.8765,78.0516,30.8054
80.2981,8.47178,41.2089,25.6462
12.0904,77.1553,42.9754,14.1542
63.6137,17.0622,13.1147,43.3287
48.3682,36.4101,21.0618,49.943
9.65328,85.114,8.37068,22.5496
46.0664,45.0065,38.1445,92.6366
70.2627,11.0701,15.9085,57.2336
48.3954,26.3511,3.57642,40.8392
21.0475,62.3422,99.7513,96.6467
8.1852,73.7247,77.8432,10.2464
12.845,31.4299,70.6736,19.1471
28.6171,11.4764,85.2844,75.937
15.6347,53.7848,48.1354,28.1815
38.8207,49.5926,53.2306,55.683
58.4761,50.2775,28.4612,40.0734
72.2517,5.36803,24.7122,30.9425
8.83986,85.0639,52.9584,79.0002
24.0591,82.6541,33.565,50.1876
37.9035,12.7394,41.9162,80.4456
26.8897,48.8957,13.6167,0.0296562
39.5017,98.3308,75.6919,80.8926
39.4452,57.9099,23.8144,69.696
50.8073,9.8402,12.0477,46.2818
51.2747,90.057,64.3639,3.37285
30.9129,22.2208,25.102,63.9629
57.1542,89.6897,77.0856,40.5208
36.3106,84.929,57.5463,34.2397
13.5668,68.4986,99.5649,61.858
52.5519,1.0299,40.0038,66.3908
29.2576,75.1983,58.2345,77.7884
6.55638,1.42728,2.57626,70.5828
83.5925,18.1917,4.69699,9.14869
46.8548,68.2374,66.1677,0.867008
90.6776,61.7445,34.3327,33.947
84.7465,75.6789,27.4438,91.7252
56.5866,85.5094,21.1182,90.6197
59.9755,85.8776,82.953,98.609
83.871,57.811,55.268,59.8733
85.075,51.2189,45.0372,35.5336
29.0491,17.864,33.663,76.7879
22.8612,63.0984,24.2001,85.6279
24.8889,88.2194,14.074,33.4053
43.6807,52.8035,67.0688,9.05988
60.1937,2.63118,40.0575,53.3826
48.414,90.1262,64.2676,37.2944
90.1112,97.014,2.23427,20.0629
5.42196,93.5336,13.7935,66.2168
43.422,75.1087,27.9512,46.3142
28.061,52.9622,34.5328,59.4853
36.2518,85.7264,23.5138,48.571
69.664,34.0106,97.7456,24.5831
93.2165,89.2921,27.8749,97.7151
47.1846,41.5447,85.5895,34.2584
85.6282,64.7187,15.0423,93.4112
41.2687,77.4163,19.1216,53.0979
25.0523,29.6315,89.7483,0.408136
99.9264,74.2584,73.9535,80.9033
62.5918,45.1141,44.8974,34.0763
19.5053,18.0121,99.8984,66.0192
66.5413,34.1619,18.0978,59.1611
68.244,58.0165,73.7135,44.1309
77.2803,56.9048,45.4001,83.8903
69.9525,63.4388,21.4905,16.8335
33.8279,7.36991,29.6329,18.0972
7.90488,51.1257,72.7476,34.4436
30.6119,6.26813,22.8553,77.6788
76.6653,40.2509,10.7926,13.3328
96.9324,96.783,67.9629,50.6584
32.3327,14.5257,45.7231,79.5943
38.9378,55.0174,67.2702,97.2415
69.6157,78.3324,30.5557,81.7472
41.0129,41.1937,59.2085,91.4833
77.2196,99.3524,28.7387,75.0162
51.4583,91.7649,35.549,92.3911
11.6409,54.308,79.3474,43.8901
13.9519,30.4109,9.50072,69.207
46.4959,80.6339,13.8037,84.3041
84.1724,83.6704,3.70367,71.2718
78.975,75.3648,93.0683,13.0096
19.2716,77.6512,89.3944,30.0546
60.0593,93.238,46.1963,64.108
24.162,61.5777,87.5263,18.3321
3.47714,25.099,23.1606,6.45703
39.295,28.553,62.6362,38.3636
27.6311,3.10736,45.4512,21.9602
4.42707,60.5575,77.0243,66.4031
71.1198,93.6876,9.47641,19.348
20.944,73.7489,61.9875,75.7904
9.41886,55.9081,17.4089,86.2261
11.528,13.0714,22.5391,87.1951
51.198,27.0309,40.817,94.1341
93.3046,98.734,60.9603,25.6846
95.8456,82.5923,18.5141,48.3912
12.7319,96.634,62.5634,16.6872
65.697,97.6749,71.6818,58.3263
5.45158,98.822,47.165,22.86
21.5899,13.0824,37.3416,36.0804
34.1915,68.7766,67.9563,84.96
17.8642,93.367,61.547,42.2965
73.7836,78.8379,59.1854,58.6211
91.4742,9.6981,79.8694,61.9844
13.3184,71.6745,9.00484,31.8747
17.5556,51.0082,56.2037,27.9896
85.6846,26.5151,87.4434,32.5045
99.8907,88.1069,47.6625,96.0107
41.0959,49.4788,85.7758,8.10805
46.8274,33.924,81.1017,16.7322
71.6968,6.7088,96.2664,32.3325
95.4851,38.7377,90.9929,97.1488
29.341,68.9949,76.7261,0.150228
52.1945,26.6387,23.4761,58.5507
5.06815,99.8587,44.7795,11.6034
80.4338,2.44622,20.2536,92.0391
83.9276,27.8959,72.7708,12.8134
66.8111,43.3854,21.4617,53.9278
11.8816,87.7647,97.9791,5.31455
55.4144,47.5339,42.41,75.1756
84.0551,70.3018,48.9541,57.8745
99.3927,53.6061,94.332,40.4519
0.824793,19.3825,84.4421,35.8536
34.6688,21.3752,0.728882,84.959
53.5808,55.8299,76.9718,75.358
33.3067,88.4396,50.3965,10.8967
63.4767,82.4861,43.1957,11.2957
22.7478,72.5615,37.0987,34.1966
81.7412,53.8176,56.214,37.7284
50.5234,97.2806,15.8068,19.6333
24.657,76.0625,18.1973,7.55098
25.237,77.3857,16.4777,71.1591
42.8174,55.6542,55.0406,88.7733
46.6423,76.7086,1.33903,69.2547
61.8836,95.3004,64.5428,38.6388
99.6722,58.9354,69.3391,78.2838
30.5932,83.449,76.7767,90.5541
61.4112,89.8944,75.019,41.6901
98.7856,74.003,94.826,74.5377
